volume,page,chapter_no,chapter_name,section_no,section_name,tone,letter,description
1,3a,1,東,4,龍,1,谾,山深貌相如賦深山谾谾
1,,1,東,4,龍,1,瀧,瀧涷沾漬說文雨瀧瀧又陽韻
1,,1,東,4,龍,1,𩟭,𩟭餅
1,,1,東,5,隆,1,隆,良中切盛也豐也大也穹隆豐隆玉篇雲高也說文作隆
1,,1,東,5,隆,1,癃,病也老也罷病也亦作隆
1,,1,東,5,隆,1,𪔳,鼓聲又盧宗切
1,,1,東,5,隆,1,窿,穹窿天勢本作隆
1,,1,東,5,隆,1,霳,靊霳雨師本作豐隆楚辭淮南子相如賦皆作豐隆
1,,1,東,5,隆,1,䃧,䃔䃧石聲又音盧宗切
1,,1,東,6,蓬,1,蓬,蒲紅切草名山名又盛貌詩其葉蓬蓬凡从艸者今作艹
1,,1,東,6,蓬,1,芃,草盛貌
1,,1,東,6,蓬,1,篷,編竹覆舟車
1,,1,東,6,蓬,1,韸,韸韸鼓聲見埤蒼亦作逢
1,,1,東,6,蓬,1,逢,詩鼉鼔逢逢又見下及陽韻
1,,1,東,6,蓬,1,髼,髼松亂髪
1,,1,東,6,蓬,1,菶,菶菶茂貌又董韻
1,,1,東,6,蓬,1,塳,塵也塵隨風起
1,,1,東,7,蒙,1,蒙,莫紅切覆也奄也冒也又姓草名卦名山名又承也又爾雅太歳在乙曰旃蒙又欺也左傳昭元年又使圍蒙其先君又逢蒙人名荀子作蠭門又陽韻
1,,1,東,7,蒙,1,冡,覆也冒也通作蒙
1,,1,東,7,蒙,1,幪,覆也蓋衣也亦作𢄐又董韻
1,,1,東,7,蒙,1,𢄐,同上又送韻
1,3b,1,東,7,蒙,1,髳,草木叢茸貌爾雅覭髳茀離也郭璞謂草木之蒙茸翳薈也又尤韻
1,,1,東,7,蒙,1,蒙,空蒙細雨又董韻
1,,1,東,7,蒙,1,雺,爾雅天氣下地不應曰雺亦作霿又尤送宥三韻
1,,1,東,7,蒙,1,霿,同上又送宥二韻
1,,1,東,7,蒙,1,曚,日未明又董韻
1,,1,東,7,蒙,1,朦,月將入也
1,,1,東,7,蒙,1,䑃,大也揚雄方言自關而西凡大貌謂之朦
1,,1,東,7,蒙,1,艨,舟名又送韻
1,,1,東,7,蒙,1,蒙,目有童子而無見禮記昭然若發蒙矣
1,,1,東,7,蒙,1,饛,盛器滿貌詩有饛簋飱
1,,1,東,7,蒙,1,罞,爾雅麋罟謂之罞郭璞曰冒其頭也又爻韻
1,,1,東,7,蒙,1,懵,懵懵無知貌又董送敬三韻
1,,1,東,7,蒙,1,夢,爾雅夢夢亂也詩視天夢夢夀夢吳子名雲夢澤名周禮作雲瞢又庚送二韻髙帝偽游雲夢韋昭曰在南郡華容師古曰讀如本字又莫紅切
1,,1,東,7,蒙,1,瞢,雲瞢澤名職方氏音忙貢切案左傳漢書夢字有二音則瞢字亦宜通用又目不明也又庚送敬三韻
1,,1,東,7,蒙,1,懜,慙也國語君使臣懜又惛也又送敬二韻上从[艹丨]音寡作[]誤
1,,1,東,8,悤,1,悤,倉紅切遽也从囪從心俗作忩怱
1,,1,東,8,悤,1,囪,灶突見廣韻俗借為悤遽字作匆凡従囪者皆然又陽韻
1,4a,1,東,8,悤,1,忩,王愔文志忩忩不暇草書晉衛恆傳張伯英忩忩不暇書
1,,1,東,8,悤,1,蔥,淺青色又葷菜漢書氣佳哉鬱鬱蔥蔥然
1,,1,東,8,悤,1,䡯,載囚車又董韻
1,,1,東,8,悤,1,聰,能聽耳力也耳徹也漢書作聰俗作聦
1,,1,東,8,悤,1,𢊕,屋階中會又董韻
1,,1,東,8,悤,1,璁,石似玉
1,,1,東,8,悤,1,驄,馬靑白色
1,,1,東,8,悤,1,樅,崇牙也詩虡業維樅注隆起貌又木名爾雅樅松葉柏身屍子松柏之鼠不知堂密之有美樅說文柏葉松身又見下
1,,1,東,8,悤,1,鏦,矛屬史記欲鏦加以矛方言防謂之鏦又陽韻
1,,1,東,8,悤,1,從,從容舒緩貌書從容以和又陽董送三韻
1,,1,東,8,悤,1,蓯,本草蓯蓉藥名又蘢蓯花名又董韻
1,,1,東,9,宗,1,宗,祖冬切尊也眾也本也又姓漢書注顔師古曰祖始也始受命也宗尊也有徳可宗也又流派所出為宗古有大宗小宗又法也論語亦可宗也又繼也主也
1,,1,東,9,宗,1,㚇,同上切鳥飛斂足亦作翪又送韻
1,,1,東,9,宗,1,翪,同上又鳥飛竦翼又董送二韻
1,,1,東,9,宗,1,騣,馬鬛
1,,1,東,9,宗,1,鬉,髪亂
1,,1,東,9,宗,1,豵,六月豚爾雅豕生三曰豵又周禮夏官注一嵗為豵
1,,1,東,9,宗,1,猣,犬生三子
1,,1,東,9,宗,1,椶,木名
1,,1,東,9,宗,1,稯,布八十縷又十筥曰稯又董韻
1,4b,1,東,9,宗,1,緵,江南呼緵罟為百囊網詩九罭傳緵罟小魚網也又送韻
1,,1,東,9,宗,1,總,絲數亦作摠又與緵同又見董送二韻
1,,1,東,9,宗,1,摠,同上又董送二韻
1,,1,東,9,宗,1,嵏,九嵏山名又峯聚之山曰嵏校獵賦虎路三嵏晉灼曰路音落服防曰以竹虎落此山也師古曰三嵏三峯聚之山也
1,,1,東,9,宗,1,嵸,巃嵸山貌又董韻
1,,1,東,9,宗,1,𨍈,車輪
1,,1,東,9,宗,1,鬷,釜屬又數也詩越以鬷邁又姓左傳鄭大夫鬷明又董韻從鬲俗作鬷
1,,1,東,9,宗,1,艐,船著沙不行又三艐國名又泰韻
1,,1,東,9,宗,1,朡,同上書遂伐三朡又泰韻
1,,1,東,9,宗,1,葼,細枝也
1,,1,東,10,縱,1,縱,將容切直也亦作從又董送二韻
1,,1,東,10,縱,1,蹤,跡也揚雄賦躡三皇之髙蹤亦作從詩羔羊注行可從跡音與蹤同
1,,1,東,10,縱,1,樅,木名見上
1,,1,東,11,叢,1,叢,徂紅切聚也從丵從取丵音浞草叢生貌上從四直畫兩長兩短誤從丱
1,,1,東,11,叢,1,樷,東方朔傳樷珍怪師古曰古叢字
1,,1,東,11,叢,1,䕺,草䕺生貌亦作藂誤從丱
1,,1,東,11,叢,1,藂,同上詩葛覃注灌木曰藂音叢後人誤作菆音子外切或本作蕞顔之推曰二音二字皆非也
1,,1,東,11,叢,1,𥵫,取魚器
1,,1,東,11,叢,1,潨,水防又小水入大水又之中切小水入大水又詩鳧鷖在潨鄭箋水外之髙者
1,5a,1,東,11,叢,1,賨,戎稅說文南蠻賦也又雲南郡蠻人賨布也魏晉時邊郡夷人輸布戶一匹謂之賨
1,,1,東,11,叢,1,悰,樂也慮也
1,,1,東,11,叢,1,琮,瑞玉八寸形似車釭周禮以黃琮禮地鄭氏注琮八方象地之形
1,,1,東,11,叢,1,慒,慮也又尤韻
1,,1,東,11,叢,1,淙,水聲又陽漾韻
1,,1,東,11,叢,1,訟,爭獄見廣韻一曰爭罪曰獄爭財曰訟又送韻案詩何以速我訟有兩音易訟卦音去聲易注雲反爭也言之於公也然則訟字從言從公蓋防意也且諧公字聲則本是平聲是以詩協從字韻易獨音去聲未為允當合依詩音於二韻通用
1,,1,東,12,從,1,從,牆容切就也順也言順曰從亦作從
1,,1,東,13,洪,1,洪,胡公切大也亦姓共工氏之後本姓共後改為洪方言石阻河流為洪
1,,1,東,13,洪,1,洚,水不遵道又陽送漾韻
1,,1,東,13,洪,1,紅,淺赤色又姓古洪切女工也蓋本音工今假借為靑紅字
1,,1,東,13,洪,1,葒,水草馬蓼也一曰蘢古草
1,,1,東,13,洪,1,䜫,大壑
1,,1,東,13,洪,1,谼,大壑莊孔子觀呂梁縣水三十仞流沫四十里今謂呂梁谼陳詩快瀉雙石谼在此
1,,1,東,13,洪,1,鴻,大曰鴻小曰鴈又大也又董韻
1,5b,1,東,13,洪,1,虹,防蝀漢志作[工虫]詩實虹小子與訌同又陽漾送韻
1,,1,東,13,洪,1,訌,防也亂也詩蟊賊內訌又陽韻
1,,1,東,13,洪,1,渱,潰渱水沸湧也
1,,1,東,13,洪,1,鉷,弩牙又唐有王鉷
1,,1,東,13,洪,1,䃔,石隕聲
1,,1,東,13,洪,1,𩘎,大風
1,,1,東,14,烘,1,烘,呼洪切烘燎火乾也又送韻
1,,1,東,15,空,1,空,苦紅切虛也又董送二韻
1,,1,東,15,空,1,悾,信也包咸曰慤也又陽送二韻
1,,1,東,15,空,1,𢃐,衣裌
1,,1,東,15,空,1,椌,器物樸又陽韻
1,,1,東,15,空,1,倥,無知揚子倥侗顓蒙又董送二韻
1,,1,東,15,空,1,箜,箜篌樂器
1,,1,東,15,空,1,崆,崆峒山見峒字下
1,,1,東,15,空,1,𦱇,𦱇心草
1,,1,東,16,公,1,公,古紅切說文從八從厶八背意也厶即私字韓非曰自營為厶背厶為公公有三公之公有五等之公有公私之公有公家之公有家公之公列子曰家公執席謂家長也凡相呼尊稱亦曰公賈誼曰此六七公又婦謂舅亦曰公賈誼曰與公並倨侯昱王丹曰家公欲與君結交則子謂父亦曰家公方言凡尊老周晉秦隴謂之公又大事曰公詩王公伊濯又與功同詩以奏膚公又姓晉有成公綏又諸容切爾雅婦謂夫之兄為兄公
1,,1,東,16,公,1,功,說文以勞定國曰功禮喪有大功小功謂之功者謂治布之功有精粗也本作紅
1,6a,1,東,16,公,1,紅,女工紡績織紝功力之謂也史記漢書大紅小紅董仲舒策又奪園夫紅女利虖景帝紀錦繡纂組害女紅哀紀害女紅之物
1,,1,東,16,公,1,工,官也事任也善巧也匠也功力也
1,,1,東,16,公,1,攻,治也擊也作也伐也又姑宗切習也毛曰二韻通用凡字同義同而有兩音通用者不問經史有音無音皆可通押其有一類者亦合准此用之今此字併入一韻一音後更不重出
1,,1,東,16,公,1,㓚,銍刈
1,,1,東,16,公,1,釭,車轂中鐵又燈也又陽韻
1,,1,東,16,公,1,玒,玉名又陽韻
1,,1,東,16,公,1,蚣,蜈蚣又職容切蚣蝑蟲名
1,,1,東,17,翁,1,翁,烏紅切老稱方言周晉秦隴謂父曰翁顔師古曰翁猶父也漢髙祖答項羽曰吾翁即若翁又鳥頸毛又姓俗作翁又董韻
1,,1,東,17,翁,1,𩔚,頸毛本作翁爾雅鳧翁後人加頁頁音頡下從人與貝字不同
1,,1,東,17,翁,1,蓊,蓊郁草木盛貌又董韻
1,,1,東,17,翁,1,螉,蠮螉細腰蜂
1,,1,東,18,風,1,風,方中切天地之使也大塊之噫氣王者之聲教也佚也告也又姓太昊之後又扶風郡名又屏風形如扆又送韻
1,,1,東,18,風,1,飌,同上周禮飌師
1,,1,東,18,風,1,楓,木名脂香景福殿槐楓被宸又山海經其脂入地千年為虎魄
1,6b,1,東,18,風,1,豐,大也多也盛也登也又姓又酒器地名卦名
1,,1,東,18,風,1,酆,地名國名左傳畢源酆邭又曰康有酆宮之朝杜預曰在始平鄠縣東說文酆文王所都書作豐偏旁從邑今皆作阝
1,,1,東,18,風,1,灃,水出扶風
1,,1,東,18,風,1,蘴,蕪菁苗也
1,,1,東,18,風,1,麷,熬麥周禮麷蕡荀子取其將若發麷又送韻
1,,1,東,18,風,1,豐,滿也詩子之豐兮毛傳豐之為言面貌豐滿也又丰茸美好貌方言作妦篆文作[]今作豐凡豐夆邦從豐與丯字不同丯從彡從丨音害說文相遮要害也凡耕耒憲害皆從丯監本作豐誤
1,,1,東,18,風,1,夆,啎也爾雅曳也注謂牽輓
1,,1,東,18,風,1,鋒,刀劍芒荀子甞試之說鋒起注如鋒刀齊起銳而難犯也亦作鏠
1,,1,東,18,風,1,鏠,漢東方朔傳變詐鏠出郊祀志泰一鏠旗
1,,1,東,18,風,1,烽,烽燧漢書注文穎曰邊方備防作高土櫓櫓上作桔臯桔臯頭兠零以薪草置其中常低之有防即火燃舉之以相告曰烽又多積薪寇至即燃之以望其煙曰燧顔師古曰晝則燔防夜則舉烽亦作防逢
1,,1,東,18,風,1,[逢火],同上相如遊獵賦起防防
1,,1,東,18,風,1,逢,相如封禪書大漢之徳逢湧原泉師古曰逢讀曰防言如防火之升又見下及陽韻
1,7a,1,東,18,風,1,峯,山峯亦作峰
1,,1,東,18,風,1,蠭,說文螫人飛蟲左傳蠭蠆有毒亦作蜂[夆虫虫]又與鋒同趙廣漢傳彊壯蠭氣
1,,1,東,18,風,1,蜂,詩莫予荓蜂
1,,1,東,18,風,1,[夆虫虫],漢中山靖王傳讒言之徒[夆虫虫]生師古曰[夆虫虫]生言眾多也一曰與蜂同
1,,1,東,18,風,1,桻,木未
1,,1,東,18,風,1,封,大也厚也又姓又聚土也垤也培也封建也國名古作[]說文艸木妄生也大戴禮五十里為封又牛名漢西域傳罽賔國出封牛大月氏國出一封橐駝師古曰脊上有一封也封言其隆髙若封土也今俗呼為封牛又緘也又送豔二韻
1,,1,東,18,風,1,葑,菜名詩採葑採菲注蔓菁也又送韻
1,,1,東,18,風,1,犎,牛名一曰橐駝漢順帝時疎勒王來獻犎牛及師子亦作封
1,,1,東,18,風,1,崶,山名一名龍門山大魚上化龍
1,,1,東,19,馮,1,馮,符中切姓又庚韻
1,,1,東,19,馮,1,沨,水聲又覃勘二韻
1,,1,東,19,馮,1,芃,草盛貌
1,,1,東,19,馮,1,泛,浮也又勘韻
1,,1,東,19,馮,1,梵,木得風貌又勘韻
1,,1,東,19,馮,1,逢,遇也迎也值也太歳在甲曰閼逢關龍逢或音如逄又見上及陽韻
1,,1,東,19,馮,1,縫,衣防也紩也縫掖大衣亦作逢荀子其衣逢又曰逢衣淺帶注逢掖大衣也與縫同又送韻
1,7b,1,東,19,馮,1,摓,紩也與縫同莊子摓衣淺帶音義雲本又作縫
1,,1,東,20,松,1,松,息中切木名江名說文亦作防
1,,1,東,20,松,1,淞,江名
1,,1,東,20,松,1,凇,凍也
1,,1,東,20,松,1,菘,菜名
1,,1,東,20,松,1,崧,山大而髙通作嵩
1,,1,東,20,松,1,𪀚,似鷹而小能捕雀
1,,1,東,20,松,1,𢤄,惺[]了慧
1,,1,東,20,松,1,鬆,[]鬆髪亂貌本韻思容切音雖微異而義不殊又通韻不可雙押故去之又送韻
1,,1,東,20,松,1,娀,國名有娀氏髙辛妃生契
1,,1,東,20,松,1,嵩,山髙也又中嶽詩作崧
1,,1,東,21,充,1,充,昌中切美也滿也實之也
1,,1,東,21,充,1,㤝,心動
1,,1,東,21,充,1,珫,珥玉通作充詩充耳琇瑩
1,,1,東,21,充,1,忡,憂也
1,,1,東,21,充,1,沖,深也虛也老子太盈若沖書作沖又飛也又持中切
1,,1,東,21,充,1,冲,同上又聲詩鑿冰冲冲从冰又持中切
1,,1,東,21,充,1,种,稚也又姓亦通作冲又持中切
1,,1,東,21,充,1,翀,直上飛通作冲又持中切
1,,1,東,21,充,1,茺,茺蔚草也
1,,1,東,21,充,1,衝,當也向也突也通道也又與[]同詩與爾臨衝本作𧘂
1,,1,東,21,充,1,𧘂,突也相如賦批[]𧘂擁又戰車後漢伏湛傳引詩作臨𧘂注曰臨臨車𧘂𧘂車
1,,1,東,21,充,1,罿,鳥網又見上
1,,1,東,21,充,1,憧,不絶貌易憧憧往來又漾韻
1,8a,1,東,21,充,1,[車童],戰車亦作衝衝又漾韻
1,,1,東,21,充,1,艟,舟名又見上及漾韻
1,,1,東,21,充,1,䂌,矛也
1,,1,東,21,充,1,蹱,躘蹱行貌
1,,1,東,21,充,1,𨙦,馬不行又御韻
1,,1,東,21,充,1,傭,均也直也齊等也詩昊天不傭注均也又見下
1,,1,東,22,中,1,中,陟隆切極也成也宜也堪也任也列子得亦中亡亦中注半也又滿也漢制中二千石謂滿二千石也又中央蓋四方之中也又內也又送韻
1,,1,東,22,中,1,衷,方寸所蘊也誠也善也正也適也中也里也折衷斷其中也又送韻
1,,1,東,22,中,1,忠,內盡其心而不欺也
1,,1,東,22,中,1,終,極也窮也死也畢也春秋無終山戎國名
1,,1,東,22,中,1,螽,詩注螽斯蚣蝑也陸璣疏曰蝗類也釋文雲一名斯螽蘇轍曰螽斯一生八十一子或曰九十九子子名阜螽又名蠜
1,,1,東,22,中,1,衆,多也又姓從目從乑三人為乑乑音吟眾立貌又送韻
1,,1,東,22,中,1,𩅧,乆隂小雨
1,,1,東,22,中,1,鍾,說文當也又酒器又量名左傳釜十則鐘六斛四斗曰鐘小爾雅二缶謂之鐘注八斛也亦作鐘漢書谷糴千鐘又姓又聚也左氏傳天鐘美於是晉書情之所鍾又龍鍾老病貌
1,,1,東,22,中,1,鐘,說文樂器漢志金曰鐘又律名漢志黃鐘鐘種也周禮皆作鐘詩鐘鼔亦作鐘古字通用義異者自可分押
1,8b,1,東,22,中,1,忪,心動也驚也惶遽也
1,,1,東,22,中,1,彸,徵彸遽行
1,,1,東,22,中,1,橦,字防雲本音同今借為木橦字又陽韻
1,,1,東,23,戎,1,戎,而中切兵也助也又姓又西夷名爾雅相也郭璞曰佐助也詩烝也無戎又纘戎祖考念茲戎功毛傳大也鄭箋戎猶汝也方言宋魯陳衛之間謂大曰戎又庚韻
1,,1,東,23,戎,1,茙,茙茙厚貌又茙葵爾雅菺茙葵
1,,1,東,23,戎,1,襛,衣厚詩何彼禯矣韓詩作茙又音農
1,,1,東,23,戎,1,駥,馬八尺
1,,1,東,23,戎,1,狨,禺屬毛可為布
1,,1,東,23,戎,1,𢫨,相助也通作戎又董韻
1,,1,東,23,戎,1,絨,細布
1,,1,東,23,戎,1,茸,草生貌又董韻
1,,1,東,23,戎,1,㲨,[粟毛]㲨罽也
1,,1,東,23,戎,1,𥎂,[矛夆]𥎂矛也
1,,1,東,23,戎,1,鱅,魚名似鰱而頭大
1,,1,東,23,戎,1,慵,嬾也
1,,1,東,23,戎,1,𥧱,窳𥧱器病
1,,1,東,24,崇,1,崇,鉏中切髙也聚也充也就也又國名古作崈
1,,1,東,24,崇,1,漴,水聲又漾韻
1,,1,東,25,蟲,1,蟲,持中切有足曰蟲無足曰豸俗作蟲又送韻
1,,1,東,25,蟲,1,爞,旱灼爾雅爞爞薰也郭璞曰旱熱薰人詩作蟲蟲又音彤
1,,1,東,25,蟲,1,重,復也疊也又禾名亦作穜種又本韻及董送韻
1,,1,東,25,蟲,1,穜,禾先種後熟詩作重又本韻董送韻
1,,1,東,25,蟲,1,種,同上又本韻董送韻
1,9a,1,東,25,蟲,1,蝩,夏蠶周禮謂之原蠶
1,,1,東,25,蟲,1,盅,器虛也
1,,1,東,26,融,1,融,以中切和也明也炊氣上出也方言宋衛荊吳之間謂長曰融又祝融俗作融
1,,1,東,26,融,1,瀜,衝瀜水深
1,,1,東,26,融,1,肜,祭之明日又祭之名爾雅商曰肜周曰繹夏曰復胙本從舟今作月又侵韻
1,,1,東,26,融,1,[火肜],火氣
1,,1,東,26,融,1,容,容儀又盛也受也包函也亦作頌
1,,1,東,26,融,1,頌,漢恵帝紀有罪當盜者皆頌系顔師古曰古者頌與容同刑法志注頌謂寛容之不桎梏也又魯徐生善為頌蘇林曰漢舊儀有二郎為頌貌威儀又送韻從公從頁本頌防字取其容盛徳因借為歌頌字
1,,1,東,26,融,1,溶,水貌又董韻
1,,1,東,26,融,1,蓉,芙蓉生於水者即荷華也古詩渉江採芙蓉生於木者亦名拒霜楚辭搴芙蓉兮木末又蓯蓉藥名
1,,1,東,26,融,1,庸,用也常也周禮民功曰庸爾雅庸勞也又雇也唐有租庸調用人之力歳二十日閏加二日不役者日為絹三尺謂之庸屈原懐沙賦誹疑俊桀兮固庸態也王逸注庸廝賤之人也又城也詩以作爾庸
1,,1,東,26,融,1,墉,城也垣也牆也亦作庸庸墉義異者分押
1,,1,東,26,融,1,鎔,銷也鑄也說文鑄器法也董仲舒傳猶金在鎔注鎔謂鑄器之模範
1,9b,1,東,26,融,1,鄘,國名紂都朝歌東衛南鄘北邶
1,,1,東,26,融,1,鏞,大鐘書笙鏞以間詩鼖鼔維鏞
1,,1,東,26,融,1,䡥,車行貌
1,,1,東,26,融,1,瑢,瑽瑢佩玉行聲
1,,1,東,26,融,1,傭,役賃又本韻
1,,1,東,26,融,1,𢧳,兵器𢧳戣也
1,,1,東,27,顒,1,顒,魚容切顒顒君徳也仰也大頭也
1,,1,東,27,顒,1,喁,噞喁魚口上見貌司馬相如傳延頸舉踵喁喁然師古曰喁喁眾口向上也又相應和聲莊子後者唱喁又魚有二韻
1,,1,東,27,顒,1,禺,番禺地名今廣州縣又魚御二韻
1,,1,東,28,弓,1,弓,居中切弧也
1,,1,東,28,弓,1,躬,身屈為躬躬圭象人鞠躬形又親也恭也說文作躳
1,,1,東,28,弓,1,躳,從身從呂呂古膂字象脊骨之形
1,,1,東,28,弓,1,宮,爾雅宮謂之室又雲大山宮郭璞曰宮謂圍繞之也禮記君為廬宮之是也又音名漢志宮中也居中央暢四方唱始施生為四聲綱又曰宮為土為信為思為君鼂錯傳處於法宮之中法淳曰法宮路寢正殿也上從宀宀音綿深屋也下從呂呂脊也脊在身中故從呂
1,,1,東,28,弓,1,恭,祗也說文本作[]亦作共龔又姓晉申生之後
1,,1,東,28,弓,1,共,同上左傳不道不共杜預注貌正曰共又君令臣共正考父三命茲益共論語舜共已正南面漢書霍光輔政上共已正南面師古曰共讀曰恭又法也詩受小共大共毛音恭鄭音拱又與供同見周禮詩匪其止共孟子共為子職而已矣谷永傳惟正之共又共工古諸侯名官名共城縣名又諡法又董送御三韻
1,10a,1,東,28,弓,1,供,設也給也通作共亦作龔又送韻
1,,1,東,28,弓,1,龔,給也說文設也與恭同又姓
1,,1,東,29,穹,1,穹,丘中切髙也封禪書顥穹注謂天也顥言氣顥汗穹言天穹隆也
1,,1,東,29,穹,1,芎,香草說文作[]左傳作鞠
1,,1,東,29,穹,1,鞠,左傳有山鞠窮乎又屋韻
1,,1,東,29,穹,1,銎,斧穿也又銎銎擊貌
1,,1,東,29,穹,1,[竹蛩],車弓
1,,1,東,30,窮,1,窮,渠宮切極也竟也究也塞也有窮國名說文作竆
1,,1,東,30,窮,1,藭,芎藭葉似江離根曰芎防苗曰蘪蕪說文作藭相如賦作穹窮
1,,1,東,30,窮,1,蛩,同上切蛩蛩巨虛獸名一曰秦謂蟬蛻曰蛩
1,,1,東,30,窮,1,邛,地名又勞也病也謂維王之邛與俯卬之卬不同邛從工從邑卬從匕從節
1,,1,東,30,窮,1,筇,竹名
1,,1,東,30,窮,1,𦭭,蓂莢也
1,,1,東,30,窮,1,蛬,蟋蟀亦名蜻蛚通作蛩又董韻
1,,1,東,30,窮,1,𦨰,南楚船小而深謂之𦨰
1,10b,1,東,30,窮,1,[邛禾],楈也
